cities,geocoded,point,lat,lon
"BOURG EN BRESSE, FRANCE","01000 Bourg-en-Bresse, France","(46.20516749999999, 5.2255007, 0.0)",46.20516749999999,5.2255007
"HAZEBROUCK, FRANCE","59190 Hazebrouck, France","(50.72748, 2.542555, 0.0)",50.72748,2.542555
"ROSPORDEN, FRANCE","29140 Rosporden, France","(47.959311, -3.828026999999999, 0.0)",47.959311,-3.828026999999999
"BELLEGARDE, FRANCE","Bellegarde-sur-Valserine, 01200 Valserhône, France","(46.10759900000001, 5.826179, 0.0)",46.10759900000001,5.826179
"MORLAIX, FRANCE","29600 Morlaix, France","(48.577613, -3.828228, 0.0)",48.577613,-3.828228
"ARRAS, FRANCE","Arras, France","(50.291002, 2.777535, 0.0)",50.291002,2.777535
"TARASCON SUR ARIEGE, FRANCE","09400 Tarascon-sur-Ariège, France","(42.848524, 1.604815, 0.0)",42.848524,1.604815
"POITIERS, FRANCE","86000 Poitiers, France","(46.58022400000001, 0.340375, 0.0)",46.58022400000001,0.340375
"ANNECY, FRANCE","Annecy, France","(45.899247, 6.129384, 0.0)",45.899247,6.129384
"NANCY, FRANCE","Nancy, France","(48.692054, 6.184417, 0.0)",48.692054,6.184417
"LOURDES, FRANCE","65100 Lourdes, France","(43.091463, -0.045726, 0.0)",43.091463,-0.045726
"BORDEAUX ST JEAN, FRANCE","Bordeaux Saint-Jean, Rue Charles Domercq, 33800 Bordeaux, France","(44.8264574, -0.5560982, 0.0)",44.8264574,-0.5560982
"BREST, FRANCE","Brest, France","(48.390394, -4.486076, 0.0)",48.390394,-4.486076
"QUIMPER, FRANCE","29000 Quimper, France","(47.997542, -4.097899, 0.0)",47.997542,-4.097899
"ASSIER, FRANCE","46320 Assier, France","(44.674942, 1.878026, 0.0)",44.674942,1.878026
"LES SABLES D'OLONNE, FRANCE","Les Sables-d'Olonne, France","(46.49295799999999, -1.795493, 0.0)",46.49295799999999,-1.795493
"CAPDENAC, FRANCE","46100 Capdenac, France","(44.580702, 2.069588, 0.0)",44.580702,2.069588
"CARCASSONNE, FRANCE","11000 Carcassonne, France","(43.2132151, 2.3517703, 0.0)",43.2132151,2.3517703
"BEZIERS, FRANCE","34500 Béziers, France","(43.344233, 3.215795, 0.0)",43.344233,3.215795
"BANYULS SUR MER, FRANCE","66650 Banyuls-sur-Mer, France","(42.48343, 3.128874, 0.0)",42.48343,3.128874
"LORRAINE TGV, FRANCE","Gare Lorraine TGV, 57420 Louvigny, France","(48.9477604, 6.169809600000001, 0.0)",48.9477604,6.169809600000001
"BETHUNE, FRANCE","Béthune, France","(50.531036, 2.63926, 0.0)",50.531036,2.63926
"BESANCON VIOTTE, FRANCE","Besançon Viotte railway station, 2 Av. de la Paix, 25000 Besançon, France","(47.2470436, 6.0219733, 0.0)",47.2470436,6.0219733
"NANTES, FRANCE","Nantes, France","(47.218371, -1.553621, 0.0)",47.218371,-1.553621
"SEDAN, FRANCE","08200 Sedan, France","(49.70349, 4.93863, 0.0)",49.70349,4.93863
"BRIANCON, FRANCE","05100 Briançon, France","(44.899416, 6.643179, 0.0)",44.899416,6.643179
"CREST, FRANCE","26400 Crest, France","(44.7282749, 5.024071999999999, 0.0)",44.7282749,5.024071999999999
"VEYNES DEVOLUY, FRANCE","05400 Veynes, France","(44.540798, 5.825864999999999, 0.0)",44.540798,5.825864999999999
"MACON LOCHE TGV, FRANCE","Mâcon-Loché TGV train station, 142 Rue Pouilly Loché, 71000 Mâcon, France","(46.282934, 4.7788308, 0.0)",46.282934,4.7788308
"CAHORS, FRANCE","46000 Cahors, France","(44.4475229, 1.441989, 0.0)",44.4475229,1.441989
"MARSEILLE ST CHARLES, FRANCE","Saint-Charles, 13001 Marseille, France","(43.3040058, 5.3900909, 0.0)",43.3040058,5.3900909
"MONTPELLIER SAINT ROCH, FRANCE","St Roch, 34000 Montpellier, France","(43.606575, 3.8820764, 0.0)",43.606575,3.8820764
"DOLE VILLE, FRANCE","39100 Dole, France","(47.09534, 5.49081, 0.0)",47.09534,5.49081
"MOUTIERS SALINS BRIDES L BAINS, FRANCE","73600 Moûtiers, France","(45.484615, 6.529926000000001, 0.0)",45.484615,6.529926000000001
"HYERES, FRANCE","Hyères, France","(43.120541, 6.128639, 0.0)",43.120541,6.128639
"DIJON VILLE, FRANCE","21000 Dijon, France","(47.322047, 5.04148, 0.0)",47.322047,5.04148
"PLOUARET TREGOR, FRANCE","Plouaret-Trégor, 22420 Plouaret, France","(48.60636299999999, -3.4668109, 0.0)",48.60636299999999,-3.4668109
"DOL DE BRETAGNE, FRANCE","35120 Dol-de-Bretagne, France","(48.54969, -1.753965, 0.0)",48.54969,-1.753965
"LANDRY, FRANCE","73210 Landry, France","(45.57158099999999, 6.739878999999999, 0.0)",45.57158099999999,6.739878999999999
"LANDERNEAU, FRANCE","29800 Landerneau, France","(48.450821, -4.248437, 0.0)",48.450821,-4.248437
"FOIX, FRANCE","09000 Foix, France","(42.964127, 1.605232, 0.0)",42.964127,1.605232
"MARSEILLE BLANCARDE, FRANCE","Blancarde, Marseille, France","(43.3033447, 5.404340599999999, 0.0)",43.3033447,5.404340599999999
